user_id,gender,log_in_count,fraud,source,state
88,male,3,0,seo,MA
89,female,15,0,seo,SC
91,female,465,0,seo,HI
93,female,1,0,ig,NY
94,male,2,0,seo,PA
95,male,2,0,twitter,PA
96,male,1,0,seo,CA
100,female,333,0,seo,OR
101,female,96,0,twitter,CT
102,female,5,0,ig,DE
103,male,0,0,seo,FL
104,male,26,0,ig,GA
105,male,5,0,ig,HI
106,male,0,0,fb,ID
107,male,56,0,seo,IL
108,female,4,0,seo,IN
109,female,0,0,ig,IA
110,male,2,0,twitter,KS
111,male,3,0,twitter,KY
112,male,0,0,seo,LA
113,female,0,0,seo,ME
114,female,0,0,ig,MD
115,male,0,0,ig,MA
116,male,0,0,ig,MI
117,male,35,0,fb,MN
118,male,4,0,ig,MS
119,male,6,0,seo,MO
120,female,0,0,twitter,MT
121,female,0,0,twitter,NE
122,male,4,0,ig,NV
123,male,0,0,seo,NH
124,male,0,0,seo,NJ
125,female,53,1,seo,NM
126,female,0,0,seo,NY
127,male,2,0,fb,NC
129,male,0,0,seo,ND
130,male,0,0,seo,OH
131,male,0,0,ig,OK
132,male,0,0,fb,OR
133,male,2,0,twitter,PA
134,male,99,0,twitter,IA
135,male,0,0,ig,RI
136,male,0,0,ig,SC
137,male,0,0,ig,SD
138,male,1,0,seo,OR
139,male,2,0,seo,TN
140,male,5,0,seo,TX
141,female,7,0,ig,AZ
142,male,0,0,ig,UT
143,male,1,0,ig,NY
144,female,7,0,fb,AR
145,male,0,0,seo,VA
146,male,2,0,ig,WA
147,male,5,0,seo,WV
148,male,2,0,ig,WI
149,male,0,0,ig,WY
150,male,3,0,ig,DC
152,male,2,0,seo,TX
153,male,0,0,fb,FL
154,male,9,0,seo,CA
155,male,135,0,seo,CA
156,male,10,0,twitter,NY
157,male,83,0,twitter,MS
158,male,2,0,twitter,TX
159,female,5,0,twitter,CA
160,male,1,0,ig,CA
161,male,12,0,twitter,NY
162,male,1,0,twitter,NY
163,female,24,0,seo,CO
164,male,1,0,twitter,CA
165,male,9,0,seo,CA
166,male,2,1,fb,TX
167,male,2,0,seo,TX
168,male,1,0,seo,NY
169,male,2,0,ig,TX
170,male,1,0,twitter,CA
171,male,2,0,ig,TX
172,female,1,0,seo,NY
173,female,1,0,seo,CA
174,male,22,0,seo,NY
175,male,7,0,twitter,NY
176,male,1,0,seo,NY
177,male,2,0,ig,TX
178,female,9,0,seo,CA
179,female,4,0,ig,FL
180,male,1,0,twitter,CA
181,male,1,0,twitter,NY
182,male,15,0,fb,NY
183,male,5,0,twitter,MO
184,male,18,0,ig,MT
185,female,2,0,fb,CT
186,female,1,0,seo,CA
187,female,4,0,seo,FL
188,male,4,0,fb,FL
189,male,4,0,twitter,FL
190,male,11,0,twitter,NV
